platform,celltype,n_marker_genes,marker_genes,cell_class,marker_hits,second_marker_hits,assignment_margin,matched_marker_genes
Full-length RNA-seq,16,20,LAMA2;CDH11;AKAP12;KIAA1217;OLFML2A;GSN;LTBP2;LRP1;AFF3;PLCL2;TENM4;BICC1;APOD;EDNRA;PRKG1;BNC2;MXRA5;FN1;GLI2;VCAN,Fibroblast,2,1,1,LAMA2;LTBP2
Full-length RNA-seq,17,20,CDH19;NRXN1;SORCS1;ZNF536;DOCK5;ANK3;XKR4;NTM;NRXN3;FRMD5;CADM1;ADGRB3;L1CAM;STARD13;TENM3;PRKCA;DMD;RELN;SLC35F1;COL28A1,Schwann,7,0,7,CDH19;NRXN1;NTM;NRXN3;FRMD5;CADM1;L1CAM
Full-length RNA-seq,18,20,FMN1;LINC01320;MYO5A;PLXNC1;TRPM1;GCNT2;PLEKHA5;DCT;KIT;INPP4B;DIP2C;PMEL;TYR;PTPRM;LYST;SOX5;TYRP1;CDH19;BCL2;MLPH,Melanocyte,12,1,11,FMN1;LINC01320;TRPM1;GCNT2;PLEKHA5;DCT;KIT;INPP4B;PMEL;TYR;SOX5;TYRP1
Full-length RNA-seq,19,20,RUBCN;GRAMD1B;IRF4;SLC15A4;LPXN;IL3RA;RAPGEF1;SIPA1L1;SLC7A11;SLC41A2;SEL1L3;PAG1;STK4;GLT1D1;CDYL;SERPINB9;RHEX;TBC1D13;PDE4B;ALCAM,Other immune,8,1,7,RUBCN;SLC15A4;LPXN;IL3RA;SEL1L3;PAG1;STK4;RHEX
Full-length RNA-seq,2,20,PTPRC;FYN;CDC42SE2;PPP1R16B;ITK;BICDL1;SLC38A1;PDE3B;AKNA;MBP;PREX1;STK4;SPOCK2;CD247;PRKCH;ARHGAP15;ZC3H12D;PPP2R5C;CYTIP;IQGAP2,T cell,4,3,1,FYN;ITK;SPOCK2;CD247
Full-length RNA-seq,3,20,COL1A1;COL5A1;COL16A1;COL6A1;MEG3;TWIST2;ADAMTS2;COL5A2;COL1A2;COL3A1;COL6A3;THBS2;COL27A1;GLIS3;ROR2;BICC1;COL12A1;FAP;ZNF469;LSAMP,Fibroblast,12,0,12,COL1A1;COL5A1;COL6A1;MEG3;TWIST2;ADAMTS2;COL5A2;COL1A2;COL3A1;COL6A3;THBS2;ROR2
Full-length RNA-seq,4,20,PRKG1;NOTCH3;MCAM;SOX5;PDE3A;SYNPO2;ITGA7;CALD1;COL4A2;ZFHX3;CLMN;EPS8;EPAS1;PDGFRB;MYLK;PPP1R12B;COL4A1;CRISPLD2;PARM1;EDNRA,Perivascular smooth muscle,10,1,9,PRKG1;NOTCH3;MCAM;SYNPO2;ITGA7;CALD1;COL4A2;ZFHX3;PDGFRB;MYLK
Full-length RNA-seq,5,20,DSP;FAM160A1;DSC3;CDH1;NEDD4L;JUP;NHSL1;KRT5;SFN;TRIM29;PKP1;FAM83B;IRF6;TP63;PERP;FAT2;DSG3;LINC00511;EPPK1;KLF5,Keratinocyte,10,0,10,DSP;DSC3;JUP;KRT5;SFN;PKP1;IRF6;TP63;PERP;DSG3
Full-length RNA-seq,6,20,RBM47;CD83;FCGR2A;PLEK;FNIP2;ABR;MGAT1;KYNU;ITGAX;CSF2RA;PIK3R5;MYO9B;LCP2;RASGEF1B;HLA-DRB1;PDE4DIP;RAPGEF1;EMILIN2;FAM49A;CXCL8,Myeloid/dendritic,6,2,4,CD83;FCGR2A;PLEK;ITGAX;CSF2RA;HLA-DRB1
Full-length RNA-seq,7,20,DSP;KRT10;NEDD4L;KRT5;MAST4;TXNRD1;KRT14;DSC3;CREB5;KRT17;KRT6A;CMSS1;FAM160A1;LINC00511;DCD;TIAM1;TNC;COL17A1;CDH1;LINC00513,Keratinocyte,7,1,6,DSP;KRT10;KRT5;KRT14;DSC3;KRT17;COL17A1
Full-length RNA-seq,8,20,SHANK3;RALGAPA2;VWF;PTPRB;CDH5;MCTP1;SSH1;ERG;MAGI1;RHOJ;ADGRL4;ARHGAP31;ADAMTS9;KDR;PECAM1;RAPGEF4;PTPRM;PLEKHG1;TCF4;FLT1,Endothelial,11,0,11,VWF;PTPRB;CDH5;ERG;MAGI1;RHOJ;ADGRL4;KDR;PECAM1;PTPRM;FLT1
Full-length RNA-seq,9,20,FP236383;FP671120;HSPA1A;HSPA1B;UBC;RBFOX1;CSMD1;CNTNAP2;OPCML;CTNNA2;DUX4;CDH4;TMEM132D;CNTNAP5;AL589740;CSMD3;CDH18;NRXN1;DSCAM;AC109466,Low information,3,1,2,HSPA1A;HSPA1B;UBC
